,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Vol,Taker Buy Quote Asset Vol,Ignore?
197,1509989400000,0.042238,0.042441,0.042115,0.042299,719.086,1509991199999,30.42297106,707,377.392,15.98064229,157522.315508
198,1509991200000,0.04222,0.042285,0.042,0.042243,513.924,1509992999999,21.61757351,561,174.705,7.35494275,157515.506738
199,1509993000000,0.042033,0.042971,0.04203,0.042783,625.612,1509994799999,26.57374572,577,292.315,12.42861703,157489.879997
200,1509994800000,0.042789,0.043327,0.04276,0.043249,1278.523,1509996599999,55.12573991,970,718.131,30.98006421,157013.163035
201,1509996600000,0.043249,0.0435,0.042933,0.043228,1388.293,1509998399999,60.0584366,1085,414.218,17.9235952,157093.677185
202,1509998400000,0.043225,0.04334,0.042115,0.04247,937.092,1510000199999,40.11532329,796,395.334,16.93632427,157246.50279
203,1510000200000,0.042449,0.042797,0.042188,0.042246,855.925,1510001999999,36.32815605,826,478.372,20.32864229,157475.88639
204,1510002000000,0.04223,0.042475,0.042023,0.042214,477.357,1510003799999,20.15173327,511,209.514,8.84752046,157658.497526
205,1510003800000,0.042214,0.042416,0.042001,0.042118,654.763,1510005599999,27.6304168,596,379.68,16.02584963,157843.500904
206,1510005600000,0.042115,0.042345,0.0412,0.041746,728.339,1510007399999,30.55627051,716,318.619,13.40505367,157926.461234
207,1510007400000,0.04199,0.0428,0.041754,0.042537,599.704,1510009199999,25.37216521,613,277.9,11.76153601,157690.294887
208,1510009200000,0.04252,0.042931,0.042342,0.042415,1894.837,1510010999999,80.70117718,1216,1073.703,45.71536483,157592.641499
209,1510011000000,0.042355,0.04287,0.04225,0.042641,1140.949,1510012799999,48.51590938,998,740.661,31.51472853,157485.373508
210,1510012800000,0.042643,0.042926,0.04189,0.042205,2291.101,1510014599999,96.8286007,1310,1117.705,47.25002353,157787.054099
211,1510014600000,0.042123,0.042225,0.041653,0.041877,1296.348,1510016399999,54.45881652,895,723.356,30.42706631,157759.965213
212,1510016400000,0.041882,0.042513,0.041797,0.04244,751.887,1510018199999,31.7243143,721,287.219,12.13956789,157722.34576
213,1510018200000,0.04244,0.042533,0.042277,0.042344,1049.573,1510019999999,44.47012248,797,653.348,27.6997267,157721.588013
214,1510020000000,0.042386,0.042717,0.042329,0.042545,508.031,1510021799999,21.61507406,682,275.414,11.72690871,157627.470833
215,1510021800000,0.042545,0.042696,0.042368,0.042525,1178.914,1510023599999,50.17784378,882,392.868,16.72303261,157727.131779
216,1510023600000,0.042511,0.042634,0.042005,0.042225,833.621,1510025399999,35.29197671,689,456.151,19.31483215,157828.54246
217,1510025400000,0.042241,0.04226,0.041687,0.042053,821.499,1510027199999,34.53112301,800,433.591,18.24357608,157845.237735
218,1510027200000,0.042001,0.04214,0.04175,0.041807,722.824,1510028999999,30.31848914,701,363.596,15.26693446,158269.440705
219,1510029000000,0.041945,0.042021,0.041585,0.041662,941.932,1510030799999,39.40913331,896,512.844,21.47378076,158196.676075
